Remote Last Name,Remote ID,Proxy Last Name,Proxy ID,Date Assigned,Date Revoked
Levin,412785,Raskin,412708,05/20/2020,06/23/2020
Vela,412580,Gallego,412612,05/20/2020,06/23/2020
Lowenthal,412521,Beyer,412657,05/21/2020,
Watson Coleman,412644,Pallone,400308,05/21/2020,
Cisneros,412757,Houlahan,412810,05/22/2020,06/25/2020
Cohen,412236,Beyer,412657,05/22/2020,06/25/2020
Deutch,412385,Rice,412647,05/22/2020,06/29/2020
Foster,412257,Beyer,412657,05/22/2020,06/24/2020
Frankel,412529,Kuster,412557,05/22/2020,06/26/2020
Gonzalez,412725,Cuellar,400657,05/22/2020,06/23/2020
Huffman,412511,Kildee,412546,05/22/2020,06/19/2020
Jayapal,412730,Raskin,412708,05/22/2020,06/22/2020
Johnson,400204,Jeffries,412561,05/22/2020,
Khanna,412684,Sherman,400371,05/22/2020,06/24/2020
Pocan,412585,Raskin,412708,05/22/2020,06/25/2020
Schrader,412315,O'Halleran,412682,05/22/2020,06/22/2020
Thompson,400402,Fudge,412327,05/22/2020,06/25/2020
Veasey,412579,Beyer,412657,05/22/2020,06/22/2020
Tonko,412319,Meng,412560,05/23/2020,06/22/2020
Barragan,412687,Gallego,412612,05/26/2020,06/24/2020
Bass,412404,Cicilline,412470,05/26/2020,06/25/2020
Bera,412512,Aguilar,412615,05/26/2020,06/23/2020
Bonamici,412501,Raskin,412708,05/26/2020,06/22/2020
Brownley,412516,Kuster,412557,05/26/2020,06/22/2020
Cardenas,412517,Sanchez,400355,05/26/2020,06/25/2020
Chu,412379,Takano,412520,05/26/2020,06/24/2020
Davis,400097,Wild,412751,05/26/2020,06/25/2020
DeSaulnier,412613,Matsui,400663,05/26/2020,
Doggett,400111,Raskin,412708,05/26/2020,06/25/2020
Escobar,412825,Garcia,412827,05/26/2020,06/22/2020
Garamendi,412382,Sherman,400371,05/26/2020,06/22/2020
Grijalva,400162,Clay,400074,05/26/2020,06/25/2020
Harder,412754,Haaland,412800,05/26/2020,06/25/2020
Heck,412584,Kilmer,412583,05/26/2020,06/22/2020
Kirkpatrick,412286,Stanton,412753,05/26/2020,05/27/2020
Lawrence,412638,Kildee,412546,05/26/2020,06/25/2020
Lawson,412693,Evans,412677,05/26/2020,
Levin,412760,Raskin,412708,05/26/2020,06/25/2020
Lewis,400240,Kildee,412546,05/26/2020,07/17/2020
Lieu,412616,Beyer,412657,05/26/2020,
Lipinski,400630,Cooper,400081,05/26/2020,06/29/2020
Lofgren,400245,Boyle,412652,05/26/2020,07/27/2020
Lowey,400246,Meng,412560,05/26/2020,06/26/2020
Maloney,400251,Rose,412803,05/26/2020,06/25/2020
McEachin,412728,Wexton,412834,05/26/2020,06/24/2020
McNerney,412189,Raskin,412708,05/26/2020,06/25/2020
Moore,400661,Beyer,412657,05/26/2020,
Napolitano,400290,Correa,412688,05/26/2020,
Peters,412523,Rice,412647,05/26/2020,06/23/2020
Pingree,412307,Kuster,412557,05/26/2020,06/26/2020
Porter,412758,Wexton,412834,05/26/2020,06/25/2020
Price,400326,Butterfield,400616,05/26/2020,06/22/2020
Roybal-Allard,400347,Sanchez,400355,05/26/2020,06/25/2020
Ruiz,412519,Aguilar,412615,05/26/2020,06/24/2020
Rush,400350,Underwood,412776,05/26/2020,07/26/2020
Schneider,412534,Houlahan,412810,05/26/2020,06/22/2020
Serrano,400366,Meng,412560,05/26/2020,06/29/2020
Soto,412695,Shultz,400623,05/26/2020,06/01/2020
Speier,412259,Scanlon,412750,05/26/2020,06/23/2020
Tlaib,412787,Dingell,412637,05/26/2020,06/25/2020
Vargas,412522,Keating,412435,05/26/2020,06/25/2020
Welch,412239,McGovern,400263,05/26/2020,
Wilson,412412,Hayes,412763,05/26/2020,
Bluemenauer,400033,Beyer,412657,05/27/2020,06/25/2020
Costa,400618,Cuellar,400657,05/27/2020,05/28/2020
Crist,412697,Murphy,412694,05/27/2020,06/22/2020
Eshoo,400124,Thompson,400403,05/27/2020,06/25/2020
Hastings,400170,Shultz,400623,05/27/2020,06/25/2020
Horsford,412559,Kildee,412546,05/27/2020,06/25/2020
Kirkpatrick,412286,Gallego,412612,05/27/2020,
Murcarsel-Powell,412767,Shultz,400623,05/27/2020,06/25/2020
"Payne, Jr.",412506,Shultz,400623,05/27/2020,
Richmond,412432,Fudge,412327,05/27/2020,06/25/2020
Schrier,412835,Kilmer,412583,05/27/2020,06/25/2020
Krishnamoorthi,412701,Brown,412707,05/28/2020,06/25/2020
Nadler,400289,Engel,400122,05/28/2020,06/25/2020
Smith,400379,Kilmer,412583,05/28/2020,06/25/2020
Suozzi,412717,Panetta,412685,05/28/2020,06/25/2020
Trahan,412781,McGovern,400263,05/28/2020,06/19/2020
Garamendi,412382,Boyle,412652,06/22/2020,07/26/2020
Sanchez,400355,Roybal-Allard,400347,06/22/2020,07/20/2020
Carson,412258,Clay,400074,06/23/2020,06/25/2020
Kind,400218,Beyer,412657,06/23/2020,06/26/2020
Langevin,400230,Lynch,400249,06/23/2020,07/26/2020
Axne,412772,Raskin,412708,06/24/2020,06/29/2020
Engel,400122,Nadler,400289,06/24/2020,06/25/2020
Khanna,412684,Gomez,412739,06/24/2020,07/17/2020
Cardenas,412517,Gomez,412739,06/25/2020,07/20/2020
Engel,400122,Titus,412318,06/25/2020,07/28/2020
Rooney,412699,Beyer,412657,06/25/2020,
Beatty,412565,Bass,412404,06/26/2020,07/28/2020
Cleaver,400639,Clay,400074,06/26/2020,07/22/2020
Frankel,412529,Clark,412600,06/26/2020,
Kuster,412557,Brownley,412516,06/26/2020,06/29/2020
Lowey,400246,Tonko,412319,06/26/2020,07/20/2020
Meng,412560,Tonko,412319,06/26/2020,07/27/2020
Nadler,400289,Jeffries,412561,06/26/2020,07/21/2020
Pingree,412307,Cicilline,412470,06/26/2020,07/29/2020
Speier,412259,Scanlon,412750,06/26/2020,07/02/2020
Lee,400237,Huffman,412511,06/28/2020,07/20/2020
Price,400326,Butterfield,400616,06/28/2020,07/02/2020
Vargas,412522,Keating,412435,06/28/2020,06/29/2020
Cohen,412236,Beyer,412657,06/29/2020,06/30/2020
Dean,412809,Scanlon,412750,06/29/2020,06/29/2020
Hastings,400170,Shultz,400623,06/29/2020,07/20/2020
Maloney,412562,Tonko,412319,06/29/2020,06/29/2020
McEachin,412728,Wexton,412834,06/29/2020,06/29/2020
Serrano,400366,Jeffries,412561,06/29/2020,07/02/2020
Vargas,412522,Levin,412760,06/29/2020,07/28/2020
Porter,412758,Wexton,412834,07/01/2020,
Clay,400074,Grijalva,400162,07/15/2020,07/27/2020
Lipinski,400630,Cooper,400081,07/15/2020,
Deutch,412385,Rice,412647,07/16/2020,07/29/2020
McEachin,412728,Wexton,412834,07/17/2020,07/21/2020
Bluemenauer,400033,Beyer,412657,07/18/2020,07/28/2020
Khanna,412684,Sherman,400371,07/18/2020,
Case,400069,Cartwright,412571,07/19/2020,07/28/2020
Pressley,412782,Omar,412791,07/19/2020,07/28/2020
Axne,412772,Raskin,412708,07/20/2020,07/20/2020
Cardenas,412517,Sanchez,400355,07/20/2020,07/22/2020
DeFazio,400100,Bonamici,412501,07/20/2020,07/28/2020
Garamendi,412382,Boyle,412652,07/20/2020,07/27/2020
Gomez,412739,Gallego,412612,07/20/2020,07/27/2020
Horsford,412559,Kildee,412546,07/20/2020,
Houlahan,412810,Sherrill,412799,07/20/2020,07/20/2020
Kind,400218,Beyer,412657,07/20/2020,07/20/2020
Pascrell,400309,Sires,412186,07/20/2020,
Richmond,412432,Butterfield,400616,07/20/2020,07/28/2020
Thompson,400402,Fudge,412327,07/20/2020,07/28/2020
Trone,412783,Beyer,412657,07/20/2020,07/23/2020
Rouda,412759,Sanchez,400355,07/21/2020,07/21/2020
Kaptur,400211,Beatty,412565,07/22/2020,07/28/2020
Sewell,412396,DelBene,412505,07/22/2020,07/28/2020
Cleaver,400639,Davids,412780,07/23/2020,
Doyle,400114,Boyle,412652,07/23/2020,07/27/2020
Hastings,400170,Shultz,400623,07/23/2020,07/27/2020
Himes,412282,Hayes,412763,07/23/2020,07/28/2020
Jayapal,412730,Raskin,412708,07/23/2020,07/24/2020
Nadler,400289,Jeffries,412561,07/23/2020,
Rose,412803,Meng,412560,07/23/2020,07/27/2020
Barragan,412687,Gallego,412612,07/24/2020,07/28/2020
Jackson Lee,400199,Butterfield,400616,07/24/2020,07/28/2020
Ruppersberger,400349,Raskin,412708,07/24/2020,07/28/2020
Boyle,412652,Lamb,412744,07/26/2020,07/29/2020
Castro,412576,Escobar,412825,07/26/2020,07/29/2020
Kelly,412595,Raskin,412708,07/26/2020,07/29/2020
Lowey,400246,Meng,412560,07/26/2020,07/29/2020
Pocan,412585,Raskin,412708,07/26/2020,
Doyle,400114,Cartwright,412571,07/27/2020,07/29/2020
Garamendi,412382,Sherman,400371,07/27/2020,
Hastings,400170,Shultz,400623,07/27/2020,
Higgins,400641,Sanchez,400355,07/27/2020,07/29/2020
Kind,400218,Beyer,412657,07/27/2020,07/29/2020
Langevin,400230,Lynch,400249,07/27/2020,
Lofgren,400245,Jeffries,412561,07/27/2020,
McEachin,412728,Wexton,412834,07/27/2020,
Moulton,412632,Rose,412803,07/27/2020,07/29/2020
Rush,400350,Underwood,412776,07/27/2020,
Clay,400074,Grijalva,400162,07/28/2020,07/29/2020
Murcarsel-Powell,412767,Shultz,400623,07/28/2020,
Peters,412523,Rice,412647,07/28/2020,
Clay,400074,Davids,412780,07/29/2020,
Grijalva,400162,Garcia,412774,07/29/2020,
Pingree,412307,Clark,412600,07/29/2020,
Speier,412259,Scanlon,412750,07/31/2020,
Lawrence,412638,Beatty,412565,07/31/2020,